Altitude_m,Core_number,Location_m,TS_geology_basal,TS_description,von_Post,,Altitude_m_charcoal,Core_number_charcoal,Charcoal,,Altitude_m_other,Core_number_other,other
400.5,1,0,TS,Sh-Sh-Sh-Th,7,,400.5,1,0,,400.5,1,0
400.4,1,0,TS,Sh-Sh-Sh-Th,8,,400.4,1,1,,400,2,0
400.2,1,0,TS,Sh-Th-Tb-Tb,4,,400.35,1,0,,399.5,3,0
399.7,1,0,TS,Sh-Tl-Th-Tb,5,,398,1,1,,394.8,3,2
399.4,1,0,TS,Sh-Th-Th-Th,6,,397.9,1,0,,394.5,3,0
399,1,0,TS,Sh-Sh-Th-Th,7,,400,2,0,,400.3,4,0
398.8,1,0,TS,Sh-Sh-Sh-Th,7,,399.9,2,1,,400,5,0
398.3,1,0,TS,Sh-Sh-Sh-Sh,8,,399.82,2,0,,399.4,6,0
398,1,0,TS,Sh-Sh-Sh-Ag,9,,399.5,3,0,,397.3,6,2
397.7,1,0,GEO_sandstone,0-0-0-0,0,,399.3,3,1,,397,6,0
397.4,1,0,,0-0-0-0,0,,399.25,3,0,,400.4,7,0
400,2,50,TS,Sh-Sh-Sh-Th,7,,394,3,1,,400.6,8,0
399.9,2,50,TS,Sh-Sh-Sh-Sh,9,,393.9,3,0,,,,
399.7,2,50,TS,Sh-Th-Tb-Tb,5,,400.3,4,0,,,,
399.2,2,50,TS,Sh-Tb-Tb-Tb,4,,400.2,4,1,,,,
399,2,50,TS,Tb-Tb-Tb-Tb,3,,400.15,4,0,,,,
398.4,2,50,TS,Sh-Tb-Tb-Tb,4,,398.3,4,1,,,,
398.2,2,50,TS,Sh-Sh-Tb-Tb,5,,398.19,4,0,,,,
398.1,2,50,TS,Sh-Th-Th-Th,6,,400,5,0,,,,
398,2,50,TS,Sh-Sh-Sh-Th,7,,399.8,5,1,,,,
397.8,2,50,TS,Sh-Sh-Sh-Sh,8,,399.52,5,0,,,,
397.2,2,50,TS,Sh-Sh-Sh-Ag,9,,398.5,5,1,,,,
397,2,50,TS,Sh-Sh-As-Ag,9,,398.43,5,0,,,,
396.8,2,50,GEO_limestone,0-0-0-0,0,,399.4,6,0,,,,
396.5,2,50,,0-0-0-0,0,,399.3,6,1,,,,
399.5,3,100,TS,Sh-Sh-Sh-Tl,7,,399.26,6,0,,,,
399.3,3,100,TS,Sh-Sh-Sh-Th,9,,397,6,1,,,,
399,3,100,TS,Sh-Th-Tb-Tb,5,,396.8,6,0,,,,
398.4,3,100,TS,Sh-Tb-Tb-Tb,4,,400.4,7,0,,,,
398.2,3,100,TS,Tb-Tb-Tb-Tb,3,,400.3,7,1,,,,
398.1,3,100,TS,Th-Tb-Tb-Tb,4,,400.25,7,0,,,,
397.3,3,100,TS,Sh-Tb-Tb-Tb,4,,399.7,7,1,,,,
397,3,100,TS,Sh-Th-Tb-Tb,5,,399.6,7,0,,,,
