Altitude_m,Core_number,Location_m,TS_geology_basal,TS_description,von_Post,,Altitude_m_charcoal,Core_number_charcoal,Charcoal,,Altitude_m_other,Core_number_other,other,,Core_label,Core_number_label
399.11,1,0,TS,Sh-Tl-Tl-Th,6,,399.11,1,0,,399.11,1,0,,C1,1
399.05,1,0,TS,Sh-Sh-Sh-Tl,7,,396.48,1,1,,396.53,1,2,,C2,2
398.97,1,0,TS,Th-Th-Tb-Tb,3,,396.17,1,0,,396.48,1,0,,C3,3
398.54,1,0,TS,Sh-Sh-Th-Tb,4,,399.43,2,1,,399.43,2,0,,C4,4
398.05,1,0,TS,Sh-Sh-Th-Th,4,,399.38,2,0,,400.632,3,0,,C5,5
397.36,1,0,TS,Sh-Sh-Sh-Th,6,,399,2,1,,399.362,3,0,,C6,6
396.53,1,0,TS,Sh-Sh-Sh-Th,7,,398.71,2,0,,398.942,3,2,,C7,7
396.48,1,0,TS,Sh-Sh-Sh-Sh,8,,400.63,3,0,,400.632,4,0,,C8,8
396.17,1,0,TS,Gg(min)-Gg(min)-Ag-Ag,0,,400,3,1,,403.222,5,0,,C9,9
396.07,1,0,GEO_sandstone,0-0-0-0,0,,399.58,3,0,,404.674,6,0,,,
395.77,1,0,,0-0-0-0,0,,400.63,4,0,,406.064,7,0,,,
399.43,2,5.7,TS,Sh-Tl-Th-Tb,6,,400.08,4,1,,409.822,8,0,,,
399.38,2,5.7,TS,Sh-Sh-Tl-Th,6,,399.71,4,0,,412.292,9,0,,,
399.31,2,5.7,TS,Sh-Th-Tb-Tb,6,,403.22,5,1,,,,,,,
399.24,2,5.7,TS,Th-Tb-Tb-Tb,4,,403.142,5,0,,,,,,,
399.07,2,5.7,TS,Sh-Tl-Th-Th,5,,403.11,5,1,,,,,,,
398.85,2,5.7,TS,Sh-Tl-Th-Th,6,,403.05,5,0,,,,,,,
398.28,2,5.7,TS,Th-Th-Tb-Tb,6,,402.61,5,1,,,,,,,
397.9,2,5.7,TS,Sh-Sh-Th-Tb,7,,402.29,5,0,,,,,,,
397.61,2,5.7,GEO_sandstone,0-0-0-0,0,,401.5,5,1,,,,,,,
397.31,2,5.7,,0-0-0-0,0,,401.452,5,0,,,,,,,
400.63,3,21.6,TS,Sh-Sh-Sh-Th,8,,404.67,6,0,,,,,,,
400.6,3,21.6,TS,Sh-Tl-Tl-Th,5,,404.65,6,1,,,,,,,
400.55,3,21.6,TS,Sh-Sh-Sh-Th,7,,404.61,6,0,,,,,,,
400.52,3,21.6,TS,Sh-Th-Th-Th,5,,402.87,6,1,,,,,,,
400.45,3,21.6,TS,Th-Tb-Tb-Tb,4,,402.62,6,0,,,,,,,
399.99,3,21.6,TS,Sh-Th-Th-Tb,5,,406.06,7,0,,,,,,,
399.36,3,21.6,TS,Sh-Th-Th-Tb,8,,406.04,7,1,,,,,,,
398.94,3,21.6,TS,Sh-Sh-Sh-Th,9,,405.91,7,0,,,,,,,
398.69,3,21.6,GEO_sandstone,0-0-0-0,0,,409.82,8,0,,,,,,,
398.39,3,21.6,,0-0-0-0,0, ,412.29,9,0,,,,,,,
400.63,4,37,TS,Sh-Tl-Tl-Th,7,,,,,,,,,,,
400.6,4,37,TS,Sh-Tl-Th-Th,7,,,,,,,,,,,
400.54,4,37,TS,Sh-Th-Tb-Tb,5,,,,,,,,,,,
400.44,4,37,TS,Th-Tb-Tb-Tb,4,,,,,,,,,,,
400.34,4,37,TS,Sh-Th-Th-Tb,7,,,,,,,,,,,
400.02,4,37,TS,Sh-Th-Th-Tb,7,,,,,,,,,,,
