Altitude_m,Core_number,Location_m,TS_geology_basal,TS_description,von_Post,,Altitude_m_charcoal,Core_number_charcoal,Charcoal,,Altitude_m_other,Core_number_other,other,,Core_label,Core_number_label
0,1,40,TS,Sh-Tl-Tl-Th,6,,0,1,0,,0,1,0,,15,1
-0.06,1,40,TS,Sh-Sh-Sh-Tl,7,,-2.63,1,1,,-2.58,1,2,,76,2
-0.14,1,40,TS,Th-Th-Tb-Tb,3,,-2.94,1,0,,-2.63,1,0,,83,3
-0.57,1,40,TS,Sh-Sh-Th-Tb,4,,0,2,1,,0,2,0,,78,4
-1.06,1,40,TS,Sh-Sh-Th-Th,4,,-0.05,2,0,,0,3,0,,M,5
-1.75,1,40,TS,Sh-Sh-Sh-Th,6,,-0.43,2,1,,-1.27,3,0,,,
-2.58,1,40,TS,Sh-Sh-Sh-Th,7,,-0.72,2,0,,-1.69,3,2,,,
-2.63,1,40,TS,Sh-Sh-Sh-Sh,8,,0,3,0,,0,4,0,,,
-2.94,1,40,TS,Gg(min)-Gg(min)-Ag-Ag,0,,-0.63,3,1,,0,5,0,,,
-3.04,1,40,GEO_sandstone,0-0-0-0,0,,-1.05,3,0,,,,,,,
-3.34,1,40,,0-0-0-0,0,,0,4,0,,,,,,,
0,2,45.7,TS,Sh-Tl-Th-Tb,6,,-0.55,4,1,,,,,,,
-0.05,2,45.7,TS,Sh-Sh-Tl-Th,6,,-0.92,4,0,,,,,,,
-0.12,2,45.7,TS,Sh-Th-Tb-Tb,6,,0,5,1,,,,,,,
-0.19,2,45.7,TS,Th-Tb-Tb-Tb,4,,-0.078,5,0,,,,,,,
-0.36,2,45.7,TS,Sh-Tl-Th-Th,5,,-0.11,5,1,,,,,,,
-0.58,2,45.7,TS,Sh-Tl-Th-Th,6,,-0.17,5,0,,,,,,,
-1.15,2,45.7,TS,Th-Th-Tb-Tb,6,,-0.61,5,1,,,,,,,
-1.53,2,45.7,TS,Sh-Sh-Th-Tb,7,,-0.93,5,0,,,,,,,
-1.82,2,45.7,GEO_sandstone,0-0-0-0,0,,-1.72,5,1,,,,,,,
-2.12,2,45.7,,0-0-0-0,0,,-1.768,5,0,,,,,,,
0,3,61.6,TS,Sh-Sh-Sh-Th,8,,,,,,,,,,,
-0.03,3,61.6,TS,Sh-Tl-Tl-Th,5,,,,,,,,,,,
-0.08,3,61.6,TS,Sh-Sh-Sh-Th,7,,,,,,,,,,,
-0.11,3,61.6,TS,Sh-Th-Th-Th,5,,,,,,,,,,,
-0.18,3,61.6,TS,Th-Tb-Tb-Tb,4,,,,,,,,,,,
-0.64,3,61.6,TS,Sh-Th-Th-Tb,5,,,,,,,,,,,
-1.27,3,61.6,TS,Sh-Th-Th-Tb,8,,,,,,,,,,,
-1.69,3,61.6,TS,Sh-Sh-Sh-Th,9,,,,,,,,,,,
-1.94,3,61.6,GEO_sandstone,0-0-0-0,0,,,,,,,,,,,
-2.24,3,61.6,,0-0-0-0,0, ,,,,,,,,,,
0,4,77,TS,Sh-Tl-Tl-Th,7,,,,,,,,,,,
-0.03,4,77,TS,Sh-Tl-Th-Th,7,,,,,,,,,,,
-0.09,4,77,TS,Sh-Th-Tb-Tb,5,,,,,,,,,,,
-0.19,4,77,TS,Th-Tb-Tb-Tb,4,,,,,,,,,,,
-0.29,4,77,TS,Sh-Th-Th-Tb,7,,,,,,,,,,,
-0.61,4,77,TS,Sh-Th-Th-Tb,7,,,,,,,,,,,
-1.16,4,77,TS,Sh-Sh-Sh-Th,8,,,,,,,,,,,
-1.53,4,77,GEO_sandstone,0-0-0-0,0,,,,,,,,,,,
-1.83,4,77,,0-0-0-0,0,,,,,,,,,,,
0,5,93.8,TS,Sh-Sh-Tl-Tl,6,,,,,,,,,,,
-0.08,5,93.8,TS,Th-Tb-Tb-Tb,4,,,,,,,,,,,
-0.11,5,93.8,TS,Sh-Sh-Tl-Th,6,,,,,,,,,,,
-0.17,5,93.8,TS,Sh-Tb-Tb-Tb,4,,,,,,,,,,,
-0.21,5,93.8,TS,Sh-Sh-Tl-Th,6,,,,,,,,,,,
-0.25,5,93.8,TS,Sh-Tb-Tb-Tb,4,,,,,,,,,,,
-0.29,5,93.8,TS,Sh-Sh-Sh-Tl,7,,,,,,,,,,,
-0.33,5,93.8,TS,Sh-Th-Th-Th,5,,,,,,,,,,,
-0.42,5,93.8,TS,Tb-Tb-Tb-Tb,4,,,,,,,,,,,
-0.67,5,93.8,TS,Sh-Th-Th-Tb,5,,,,,,,,,,,
-1.11,5,93.8,TS,Sh-Tl-Th-Tb,6,,,,,,,,,,,
-1.43,5,93.8,TS,Sh-Sh-Tl-Th,7,,,,,,,,,,,
-1.62,5,93.8,TS,Sh-Sh-Sh-Th,8,,,,,,,,,,,
-1.77,5,93.8,GEO_sandstone,0-0-0-0,0,,,,,,,,,,,
-2.07,5,93.8,,0-0-0-0,0,,,,,,,,,,,
