Altitude_m,Core_number,Location_m,TS_geology_basal,TS_description,von_Post,,Altitude_m_charcoal,Core_number_charcoal,Charcoal,,Altitude_m_other,Core_number_other,other
404.67,1,74,TS,Sh-Sh-Sh-Tl,6,,404.67,1,0,,404.67,1,0
404.65,1,74,TS,Sh-Tl-Tl-Tl,5,,404.65,1,1,,406.06,2,0
404.61,1,74,TS,Sh-Sh-Th-Th,5,,404.61,1,0,,409.82,3,0
404.57,1,74,TS,Sh-Sh-Sh-Th,7,,402.87,1,1,,412.29,4,0
404.52,1,74,TS,Sh-Th-Tb-Tb,5,,402.62,1,0,,,,
404.45,1,74,TS,Th-Tb-Tb-Tb,4,,406.06,2,0,,,,
404.37,1,74,TS,Sh-Sh-Th-Tb,5,,406.04,2,1,,,,
404.25,1,74,TS,Sh-Th-Th-Tb,4,,405.91,2,0,,,,
404.19,1,74,TS,Th-Tb-Tb-Tb,4,,409.82,3,0,,,,
404.11,1,74,TS,Sh-Sh-Th-Th,7,,412.29,4,0,,,,
402.87,1,74,TS,Sh-Sh-Sh-Sh,9,,,,,,,,
402.62,1,74,GEO_sandstone,0-0-0-0,0,,,,,,,,
402.32,1,74,,0-0-0-0,0,,,,,,,,
406.06,2,94,TS,Sh-Sh-Tl-Th,7,,,,,,,,
406.04,2,94,TS,Tl-Tl-Th-Th,6,,,,,,,,
405.99,2,94,TS,Sh-Sh-Sh-Th,8,,,,,,,,
405.91,2,94,TS,Sh-Sh-Th-Tb,7,,,,,,,,
405.83,2,94,TS,Th-Tb-Tb-Tb,4,,,,,,,,
405.63,2,94,TS,Sh-Th-Th-Th,6,,,,,,,,
404.8,2,94,TS,Sh-Sh-Sh-Sh,9,,,,,,,,
404.56,2,94,GEO_sandstone,0-0-0-0,0,,,,,,,,
404.26,2,94,,0-0-0-0,0,,,,,,,,
409.82,3,139.8,TS,Sh-Sh-Sh-Th,7,,,,,,,,
409.7,3,139.8,TS,Th-Th-Th-Tb,4,,,,,,,,
409.32,3,139.8,TS,Sh-Th-Tb-Tb,3,,,,,,,,
409.22,3,139.8,TS,Sh-Sh-Th-Th,6,,,,,,,,
408.61,3,139.8,TS,Sh-Sh-Sh-Tl,7,,,,,,,,
408.25,3,139.8,TS,Sh-Sh-Ag-As,8,,,,,,,,
408.07,3,139.8,TS,Gg(min)-Gg(min)-Ag-As,0,,,,,,,,
407.99,3,139.8,GEO_sandstone,0-0-0-0,0,,,,,,,,
407.69,3,139.8,,0-0-0-0,0, ,,,,,,,
412.29,4,176.4,TS,Sh-Th-Th-Th,5,,,,,,,,
412.16,4,176.4,TS,Sh-Sh-Th-Th,6,,,,,,,,
412.11,4,176.4,TS,Sh-Th-Th-Tb,5,,,,,,,,
411.69,4,176.4,TS,Sh-Th-Th-Th,5,,,,,,,,
411.56,4,176.4,TS,Sh-Th-Th-Tb,5,,,,,,,,
411.07,4,176.4,TS,Sh-Sh-Th-Tb,7,,,,,,,,
410.61,4,176.4,TS,Sh-Sh-Ag-Ag,8,,,,,,,,
410.37,4,176.4,TS,Gg(min)-Gg(min)-Gg(maj)-Gg(maj),0,,,,,,,,
410.27,4,176.4,GEO_sandstone,0-0-0-0,0,,,,,,,,
409.97,4,176.4,,0-0-0-0,0,,,,,,,,
